clip,label,source,frames,zero_person_frames,person_count_mean,person_count_median,person_count_max,ndist_mean,ndist_median,ndist_min,diag_mean,diag_median,diag_max,stationary_frames_mean,stationary_frames_max,speed_mean,speed_max,accel_mean,accel_max,fire_stationary,fire_restricted,fire_crowding,fire_proximity,temporal_max
train/Train_Fight/1tU4kxa51vw_1.avi,Fight,1tU4kxa51vw,150,0,8.026666666666667,8.0,13.0,0.290910697423699,0.2668018599599644,0.006990428236165769,292.4776480733144,274.6179177755297,373.63852252763394,8.168801808590807,62.0,3.354254537978081,39.168333704837956,2.102961530896872,38.37137804217825,0.9733333333333334,0.0,0.006666666666666667,0.32,0.987565
train/Train_Fight/3CQi0ZCCHvc_0.avi,Fight,3CQi0ZCCHvc,150,5,2.4266666666666667,2.0,5.0,0.283952456566401,0.2721415544022502,0.042375840660198116,227.07026354242046,238.17166208203747,285.70032937223414,3.6886363636363635,30.0,7.695902034189088,91.37844046765878,5.302491575931035,68.01726313637359,0.3933333333333333,0.05333333333333334,0.05333333333333334,0.03333333333333333,0.991781
train/Train_Fight/3CQi0ZCCHvc_1.avi,Fight,3CQi0ZCCHvc,150,29,1.3333333333333333,1.0,3.0,0.2712940321299667,0.28569062165438563,0.05794065608912727,201.27355136712916,204.64282261551253,262.257475110739,1.9618320610687023,24.0,11.731896772517466,49.36796258708482,8.807741380468839,47.778117068084335,0.04,0.03333333333333333,0.0,0.006666666666666667,0.996533
train/Train_Fight/3CQi0ZCCHvc_2.avi,Fight,3CQi0ZCCHvc,150,10,1.7333333333333334,2.0,4.0,0.25914249771373316,0.23805694086198953,0.05524441485155583,205.19910265287993,205.79815197637728,288.9068271919775,4.619354838709677,30.0,7.73249563673803,62.35123312205265,6.03173024749373,60.83590439161963,0.3466666666666667,0.05333333333333334,0.013333333333333334,0.02666666666666667,0.216859
train/Train_Fight/6mrIIcAQ2fI_0.avi,Fight,6mrIIcAQ2fI,150,59,0.8066666666666666,1.0,3.0,0.35710678821494496,0.3661507839963888,0.09886854620467221,328.8370534901343,294.06257300865616,546.9441038906757,34.04426559356137,146.0,23.833890175082285,129.004861169915,18.02491991030217,97.63484592749421,0.006666666666666667,0.0,0.0,0.0,0.411137
train/Train_Fight/6mrIIcAQ2fI_2.avi,Fight,6mrIIcAQ2fI,150,150,0.0,0.0,0.0,,,,,,,41.728476821192054,150.0,,,,,0.0,0.0,0.0,0.0,0.288112
train/Train_Fight/6mrIIcAQ2fI_3.avi,Fight,6mrIIcAQ2fI,150,145,0.03333333333333333,0.0,1.0,,,,101.53487010620614,99.36264750796347,108.48791199366754,37.03492063492064,150.0,44.798092405637576,57.25605250109185,24.915920190908544,24.915920190908544,0.0,0.0,0.0,0.0,0.278882
train/Train_Fight/7qtRgyFsk3s_0.avi,Fight,7qtRgyFsk3s,150,20,1.8133333333333332,2.0,3.0,0.3736595815836225,0.39165991535474864,0.046465844673869716,224.26995503652097,210.73891502068312,407.5616583527053,23.34803149606299,150.0,4.5148352512736105,36.96850537633443,3.28704339892763,36.864632684193886,0.26666666666666666,0.0,0.04,0.02666666666666667,0.999823
train/Train_Fight/7qtRgyFsk3s_1.avi,Fight,7qtRgyFsk3s,150,5,2.5866666666666664,3.0,5.0,0.3859637808268458,0.4214875076201957,0.020073040502273903,478.40585180311615,514.0513017292229,611.6231656218655,35.78357380688124,150.0,7.110833390341587,75.5333561407218,5.034233800428136,74.60996135916879,0.56,0.0,0.04666666666666667,0.04,0.737031
train/Train_Fight/8SWZq5we_fk_0.avi,Fight,8SWZq5we_fk,150,30,1.3866666666666667,2.0,3.0,0.6161305888723626,0.7063133463796663,0.020083149260983035,319.90420329363405,355.7834731934772,504.4211746923641,27.025974025974026,150.0,10.12253990031648,38.76945699809576,4.771343110600676,23.638464488097668,0.013333333333333334,0.0,0.0,0.0,0.883163
train/Train_Fight/8SWZq5we_fk_1.avi,Fight,8SWZq5we_fk,150,97,0.6133333333333333,0.0,3.0,0.3638665485026726,0.3617828812660153,0.033193452047177316,240.5172758806814,213.0984663954386,398.03476951889246,33.420138888888886,150.0,14.518588614881088,56.64890829543714,6.954242088075783,44.33525519853933,0.02666666666666667,0.0,0.0,0.0,0.885655
